#Please import the downloaded file into Excel 2007 or above version
Family	Family_type	Sequence_Acc	Domains	Sequence_Annotation
B3-Domain	transcription factor	Potra2n3c8326.1	IPR003340	protein AED:0.60 eAED:0.60 QI:0|0|0|0.5|1|1|2|0|193
B3-Domain	transcription factor	Potra2n3c8324.1	IPR003340	protein AED:0.66 eAED:0.66 QI:0|0|0|0.5|1|1|2|0|168
WD40-like	transcription factor	Potra2n3c8336.1	IPR001680,IPR017986,IPR019775	protein AED:0.16 eAED:0.16 QI:1739|0.88|0.89|1|0.66|0.63|19|374|464
WD40-like	transcription factor	Potra2n3c8336.2	IPR001680,IPR017986,IPR019775	protein AED:0.27 eAED:0.29 QI:0|0.55|0.57|0.94|0.72|0.73|19|374|712
WD40-like	transcription factor	Potra2n3c8336.3	IPR001680,IPR017986,IPR019775	protein AED:0.26 eAED:0.28 QI:0|0.70|0.66|1|0.70|0.72|18|374|699
WD40-like	transcription factor	Potra2n3c8336.4	IPR001680,IPR017986,IPR019775	protein AED:0.33 eAED:0.35 QI:0|0.58|0.61|1|0.75|0.69|13|374|491
WD40-like	transcription factor	Potra2n3c8336.5	IPR001680,IPR017986,IPR019775	protein AED:0.32 eAED:0.34 QI:0|0.66|0.69|1|0.83|0.76|13|374|475
C2H2	transcription factor	Potra2n3c8329.1	IPR007087,IPR015880	protein AED:0.29 eAED:0.27 QI:206|0.83|0.71|1|0.66|0.85|7|0|408
C2H2	transcription factor	Potra2n3c8329.2	IPR007087,IPR015880	protein AED:0.31 eAED:0.29 QI:206|0.6|0.66|1|1|1|6|0|378
CCHC(Zn)	transcription factor interactor and regulator	Potra2n3c8340.1	IPR001878	protein AED:0.25 eAED:0.30 QI:675|0|0.5|1|0|0|2|0|305
B3-Domain	transcription factor	Potra2n3c8325.1	IPR003340	protein AED:0.33 eAED:0.33 QI:0|0|0|1|0|0|2|0|186
C3H	transcription factor	Potra2n9c19772.1	IPR000571	protein AED:0.29 eAED:0.29 QI:271|1|1|1|0.6|0.33|6|443|527
C3H	transcription factor	Potra2n9c19772.2	IPR000571	protein AED:0.29 eAED:0.29 QI:271|1|1|1|0.6|0.33|6|367|531
C3H	transcription factor	Potra2n9c19772.3	IPR000571	protein AED:0.30 eAED:0.30 QI:198|1|1|1|0.6|0.33|6|441|527
C3H	transcription factor	Potra2n9c19772.4	IPR000571	protein AED:0.30 eAED:0.30 QI:213|1|1|1|0.6|0.33|6|367|531
C3H	transcription factor	Potra2n9c19772.5	IPR000571	protein AED:0.26 eAED:0.26 QI:271|1|1|1|0.75|0.6|5|731|531
C3H	transcription factor	Potra2n9c19772.6	IPR000571	protein AED:0.27 eAED:0.27 QI:271|1|1|1|0.75|0.6|5|641|527
ARF	transcription factor	Potra2n3c8400.1	IPR003340,IPR010525,IPR011525	protein AED:0.18 eAED:0.18 QI:1130|0.85|0.93|1|0.92|1|15|1157|692
C3H	transcription factor	Potra2n9c19772.7	IPR000571	protein AED:0.28 eAED:0.28 QI:198|1|1|1|0.75|0.6|5|641|527
bZIP	transcription factor	Potra2n673s36378.1	IPR004827,IPR011616,IPR011700	protein AED:0.16 eAED:0.16 QI:528|0.77|0.8|1|0.77|0.7|10|659|456
bZIP	transcription factor	Potra2n673s36378.2	IPR004827,IPR011616,IPR011700	protein AED:0.17 eAED:0.17 QI:528|0.75|0.77|1|0.75|0.66|9|659|429
bZIP	transcription factor	Potra2n673s36378.3	IPR004827,IPR011616,IPR011700	protein AED:0.25 eAED:0.25 QI:0|0.75|0.66|0.88|0.75|0.66|9|659|461
PHD	chromatin regulator	Potra2n673s36372.1	IPR001841,IPR001965,IPR018957	protein AED:0.28 eAED:0.28 QI:0|-1|0|1|-1|1|1|0|164
C2H2	transcription factor	Potra2n673s36374.1	IPR001841	protein AED:0.16 eAED:0.16 QI:371|0.71|0.62|1|0.71|0.75|8|1259|354
C2H2	transcription factor	Potra2n673s36374.2	IPR001841	protein AED:0.28 eAED:0.28 QI:371|1|1|1|0.71|0.62|8|371|323
C2H2	transcription factor	Potra2n673s36374.3	IPR001841	protein AED:0.17 eAED:0.17 QI:371|1|1|1|0.83|0.85|7|1259|323
C2H2	transcription factor	Potra2n673s36370.1	IPR001841,IPR018957	protein AED:0.26 eAED:0.43 QI:0|0|0|0.66|0|0|3|0|246
bZIP	transcription factor	Potra2n320s35307.1	IPR004827	protein AED:0.58 eAED:0.57 QI:0|0|0|0.71|1|1|7|0|357
bZIP	transcription factor	Potra2n320s35308.1	IPR004827	protein AED:0.96 eAED:1.00 QI:0|0|0|0.5|1|1|2|0|110
bZIP	transcription factor	Potra2n320s35302.1	IPR004827	protein AED:0.28 eAED:0.26 QI:0|0|0|0.83|0.6|0.5|6|0|211
Hap3/NF-YB	transcription factor	Potra2n9c19844.1	IPR009072	protein AED:0.21 eAED:0.11 QI:0|0|0|0.5|1|1|2|0|126
C3H-WRC/GRF	transcription factor interactor and regulator	Potra2n12c23713.1	IPR014977,IPR014978	protein AED:0.18 eAED:0.18 QI:0|0.71|0.75|1|0.42|0.25|8|298|569
MYB-HB-like	transcription factor	Potra2n9c19848.1	IPR001005,IPR009057,IPR017930	protein AED:0.16 eAED:0.16 QI:647|1|0.90|1|0.8|0.63|11|341|694
C3H-WRC/GRF	transcription factor interactor and regulator	Potra2n12c23713.2	IPR014977,IPR014978	protein AED:0.12 eAED:0.12 QI:861|1|1|1|0.4|0.16|6|298|411
C3H-WRC/GRF	transcription factor interactor and regulator	Potra2n12c23713.3	IPR014977,IPR014978	protein AED:0.16 eAED:0.16 QI:217|1|1|1|0.6|0.5|6|298|536
C3H-WRC/GRF	transcription factor interactor and regulator	Potra2n12c23713.5	IPR014977,IPR014978	protein AED:0.08 eAED:0.08 QI:217|1|1|1|1|1|4|795|536
MYB-HB-like	transcription factor	Potra2n9c19848.2	IPR001005,IPR009057,IPR017930	protein AED:0.13 eAED:0.13 QI:647|0.88|0.9|1|0.77|0.6|10|591|700
MYB-HB-like	transcription factor	Potra2n9c19848.3	IPR001005,IPR009057,IPR017930	protein AED:0.13 eAED:0.13 QI:647|1|0.9|1|0.88|0.8|10|591|694
NAM	transcription factor	Potra2n12c23695.1	IPR003441	protein AED:0.40 eAED:0.40 QI:159|1|1|1|1|1|3|167|171
NAM	transcription factor	Potra2n12c23694.1	IPR003441	protein AED:0.42 eAED:0.41 QI:0|0.5|0.33|1|1|1|3|293|161
NAM	transcription factor	Potra2n12c23697.1	IPR003441	protein AED:0.44 eAED:0.54 QI:0|0.5|0.33|1|1|1|3|0|171
WD40-like	transcription factor	Potra2n12c23720.1	IPR001680,IPR017986	protein AED:0.15 eAED:0.15 QI:66|1|1|1|1|1|16|474|894
WD40-like	transcription factor	Potra2n12c23720.2	IPR001680,IPR017986	protein AED:0.15 eAED:0.15 QI:66|1|1|1|0.93|0.93|16|474|871
SSXT	putative novel transcription factor	Potra2n12c23706.1	IPR007726	protein AED:0.32 eAED:0.32 QI:541|1|1|1|1|1|4|621|145
Homobox-WOX	transcription factor	Potra2n12c23699.1	IPR001356,IPR009057	protein AED:0.41 eAED:0.41 QI:219|1|1|1|1|1|2|409|256
NAM	transcription factor	Potra2n12c23758.1	IPR003441	protein AED:0.14 eAED:0.14 QI:222|0.58|0.61|1|1|1|13|859|1077
WD40-like	transcription factor	Potra2n12c23769.1	IPR001680,IPR017986,IPR019775	protein AED:0.09 eAED:0.09 QI:632|0|0.5|1|0|0.5|2|1344|340
C2H2	transcription factor	Potra2n9c19823.2	IPR001841,IPR018957	protein AED:0.20 eAED:0.20 QI:0|0|0.33|1|0|0.33|3|342|377
C2H2	transcription factor	Potra2n12c23772.1	IPR007087	protein AED:0.04 eAED:0.04 QI:157|1|1|1|0.6|0.63|11|157|1010
C2H2	transcription factor	Potra2n12c23772.3	IPR007087	protein AED:0.03 eAED:0.03 QI:157|1|1|1|0.75|0.88|9|211|1010
C2H2	transcription factor	Potra2n12c23773.1	IPR015880	protein AED:0.30 eAED:0.30 QI:463|1|1|1|0.33|0.28|7|1654|433
C2H2	transcription factor	Potra2n12c23773.2	IPR015880	protein AED:0.32 eAED:0.32 QI:463|0.83|1|1|0.33|0.28|7|1515|401
C2H2	transcription factor	Potra2n12c23773.4	IPR015880	protein AED:0.30 eAED:0.30 QI:492|1|1|1|0.4|0.5|6|1654|433
C2H2	transcription factor	Potra2n12c23773.5	IPR015880	protein AED:0.32 eAED:0.32 QI:492|0.8|1|1|0.4|0.5|6|1515|401
WD40-like	transcription factor	Potra2n12c23818.1	IPR001680,IPR017986	protein AED:0.25 eAED:0.25 QI:436|0.87|0.77|1|0.75|0.66|9|0|750
WD40-like	transcription factor	Potra2n12c23818.2	IPR001680,IPR017986	protein AED:0.10 eAED:0.10 QI:859|1|1|1|0.71|0.62|8|1210|724
WD40-like	transcription factor	Potra2n12c23818.3	IPR001680,IPR017986	protein AED:0.08 eAED:0.08 QI:859|1|1|1|1|1|7|1483|726
GRAS	transcription factor	Potra2n12c23795.1	IPR005202	protein AED:0.14 eAED:0.14 QI:0|0|0|1|1|1|2|0|424
WD40-like	transcription factor	Potra2n12c23797.1	IPR017986	protein AED:0.03 eAED:0.03 QI:151|1|1|1|0.90|0.83|12|649|2414
WD40-like	transcription factor	Potra2n12c23797.2	IPR017986	protein AED:0.04 eAED:0.04 QI:151|1|1|1|1|1|11|551|2414
C2C2-Dof	transcription factor	Potra2n12c23811.1	IPR003851	protein AED:0.27 eAED:0.27 QI:279|1|1|1|1|1|2|661|298
Nin-like	transcription factor	Potra2n12c23832.1	IPR003035	protein AED:0.01 eAED:0.01 QI:0|1|1|1|1|0.66|3|0|249
C2H2	transcription factor	Potra2n12c23844.2	IPR001841	protein AED:0.17 eAED:0.17 QI:293|1|1|1|0.33|0.5|4|712|332
C2H2	transcription factor	Potra2n12c23844.3	IPR001841	protein AED:0.01 eAED:0.01 QI:1444|1|1|1|0.5|0.33|3|712|276
C2C2-CO-like	transcription factor	Potra2n12c23858.1	IPR010402	protein AED:0.03 eAED:0.03 QI:263|0.75|0.8|1|0.25|0.8|5|467|310
B3-Domain	transcription factor	Potra2n12c23874.1	IPR003340	protein AED:0.11 eAED:0.09 QI:0|0|0|0.5|1|1|2|0|157
B3-Domain	transcription factor	Potra2n12c23877.2	IPR003340	protein AED:0.43 eAED:0.43 QI:0|0|0|0.66|0|0.33|3|0|135
B3-Domain	transcription factor	Potra2n12c23877.3	IPR003340	protein AED:0.35 eAED:0.35 QI:0|0|0|1|0|0|2|0|225
B3-Domain	transcription factor	Potra2n12c23868.1	IPR003340	protein AED:0.41 eAED:0.41 QI:0|-1|0|1|-1|1|1|115|121
B3-Domain	transcription factor	Potra2n12c23876.1	IPR003340	protein AED:0.43 eAED:0.43 QI:0|-1|1|1|-1|1|1|0|101
B3-Domain	transcription factor	Potra2n12c23870.1	IPR003340	protein AED:0.43 eAED:0.43 QI:0|-1|1|1|-1|1|1|15|119
B3-Domain	transcription factor	Potra2n12c23872.1	IPR003340	protein AED:0.43 eAED:0.43 QI:0|-1|0|1|-1|1|1|0|122
B3-Domain	transcription factor	Potra2n12c23867.1	IPR003340	protein AED:0.45 eAED:0.45 QI:0|-1|1|1|-1|1|1|0|124
B3-Domain	transcription factor	Potra2n12c23863.1	IPR003340	protein AED:0.45 eAED:0.45 QI:0|-1|0|1|-1|1|1|0|122
B3-Domain	transcription factor	Potra2n12c23865.1	IPR003340	protein AED:0.45 eAED:0.45 QI:0|-1|0|1|-1|1|1|0|122
B3-Domain	transcription factor	Potra2n12c23873.1	IPR003340	protein AED:0.62 eAED:1.00 QI:0|0|0|0.5|1|1|2|0|126
CCHC(Zn)	transcription factor interactor and regulator	Potra2n12c23878.1	IPR001878	protein AED:0.20 eAED:0.35 QI:1|0.25|0|0.8|0|0|5|0|315
NAM	transcription factor	Potra2n12c23930.1	IPR003441	protein AED:0.10 eAED:0.10 QI:544|1|1|1|1|1|3|505|359
C2H2	transcription factor	Potra2n12c23914.1	IPR001841,IPR018957	protein AED:0.15 eAED:0.15 QI:83|1|1|1|1|1|2|836|376
C2H2	transcription factor	Potra2n9c19829.1	IPR001841,IPR018957	protein AED:0.19 eAED:0.19 QI:0|0|0.25|1|0|0.25|4|334|382
WRKY	transcription factor	Potra2n12c23969.1	IPR003657	protein AED:0.10 eAED:0.10 QI:759|0.66|0.75|1|0.66|0.5|4|395|283
BED-type(Zn)	transcription factor/ chromatin remodeling	Potra2n12c23988.1	IPR003656,IPR012337	protein AED:0.24 eAED:0.28 QI:427|0.75|0.8|1|0.25|0.2|5|0|594
BED-type(Zn)	transcription factor/ chromatin remodeling	Potra2n12c23988.2	IPR003656	protein AED:0.48 eAED:0.61 QI:0|0|0|1|0|0.5|4|0|282
BED-type(Zn)	transcription factor/ chromatin remodeling	Potra2n12c23988.3	IPR003656	protein AED:0.43 eAED:0.46 QI:0|0|0|1|0|0.25|4|0|209
BED-type(Zn)	transcription factor/ chromatin remodeling	Potra2n12c23988.4	IPR003656,IPR012337	protein AED:0.23 eAED:0.28 QI:463|0.66|0.75|1|0.33|0.25|4|0|594
BED-type(Zn)	transcription factor/ chromatin remodeling	Potra2n12c23988.6	IPR003656,IPR012337	protein AED:0.23 eAED:0.28 QI:486|0.5|0.66|1|0.5|0.33|3|0|594
bHLH	transcription factor	Potra2n12c23970.1	IPR011598	protein AED:0.21 eAED:0.21 QI:1064|1|1|1|0.5|0.33|3|292|232
bHLH	transcription factor	Potra2n12c23970.2	IPR011598	protein AED:0.01 eAED:0.01 QI:1064|1|1|1|1|1|2|1776|226
MYB-HB-like	transcription factor	Potra2n12c23966.1	IPR001005,IPR009057,IPR015495	protein AED:0.18 eAED:0.18 QI:277|1|1|1|1|1|3|626|160
AP2-EREBP	transcription factor	Potra2n12c23983.1	IPR001471	protein AED:0.34 eAED:0.34 QI:0|-1|0|1|-1|1|1|0|254
GRAS	transcription factor	Potra2n9c19842.1	IPR005202	protein AED:0.35 eAED:0.35 QI:0|1|1|1|0|0.25|4|381|866
GRAS	transcription factor	Potra2n9c19837.1	IPR005202	protein AED:0.36 eAED:0.36 QI:0|-1|0|1|-1|1|1|0|702
GRAS	transcription factor	Potra2n9c19841.1	IPR005202	protein AED:0.36 eAED:0.36 QI:0|0|0.33|1|0.5|0.66|3|568|779
GRAS	transcription factor	Potra2n9c19839.1	IPR005202	protein AED:0.40 eAED:0.40 QI:0|-1|0|1|-1|1|1|0|656
GRAS	transcription factor	Potra2n9c19840.1	IPR005202	protein AED:0.45 eAED:0.45 QI:0|0|0|0.5|0|0.5|2|0|370
PAZ-Argonaute	post-transcriptional gene silencing	Potra2n12c24023.1	IPR003100,IPR012337	protein AED:0.26 eAED:0.26 QI:237|1|1|1|0.86|0.83|24|773|1062
C2H2	transcription factor	Potra2n12c24019.1	IPR001841,IPR018957	protein AED:0.32 eAED:0.32 QI:157|-1|1|1|-1|1|1|0|346
Homobox-WOX	transcription factor	Potra2n9c19875.1	IPR001356,IPR009057	protein AED:0.01 eAED:0.01 QI:0|1|1|1|1|1|2|0|245
MYB-HB-like	transcription factor	Potra2n12c24046.1	IPR001005,IPR009057,IPR015495,IPR017930	protein AED:0.15 eAED:0.15 QI:453|1|1|1|0.66|0.5|4|443|243
MYB-HB-like	transcription factor	Potra2n12c24046.2	IPR001005,IPR009057,IPR015495,IPR017930	protein AED:0.23 eAED:0.23 QI:0|0.66|0.75|1|0.66|0.5|4|443|268
MYB-HB-like	transcription factor	Potra2n12c24046.3	IPR001005,IPR009057,IPR015495,IPR017930	protein AED:0.12 eAED:0.12 QI:613|1|1|1|1|1|3|443|243
C2H2	transcription factor	Potra2n12c24052.1	IPR007087,IPR015880	protein AED:0.20 eAED:0.20 QI:528|1|1|1|0.33|0.5|4|249|458
C2H2	transcription factor	Potra2n12c24052.2	IPR007087,IPR015880,IPR019786	protein AED:0.20 eAED:0.20 QI:528|1|1|1|1|1|3|249|457
PHD	chromatin regulator	Potra2n12c24052.2	IPR007087,IPR015880,IPR019786	protein AED:0.20 eAED:0.20 QI:528|1|1|1|1|1|3|249|457
NAM	transcription factor	Potra2n12c24032.1	IPR003441	protein AED:0.23 eAED:0.23 QI:143|1|0.66|1|0.5|0.66|3|421|319
NAM	transcription factor	Potra2n12c24032.2	IPR003441	protein AED:0.25 eAED:0.25 QI:143|1|1|1|1|1|3|421|292
GAGA-Binding-like	transcription factor	Potra2n12c24053.1	IPR010409	protein AED:0.35 eAED:0.35 QI:0|0.5|0.33|1|0.5|0.33|3|1467|252
GAGA-Binding-like	transcription factor	Potra2n12c24055.1	IPR010409	protein AED:0.40 eAED:0.40 QI:316|1|1|1|0|0|5|298|269
GAGA-Binding-like	transcription factor	Potra2n12c24055.2	IPR010409	protein AED:0.39 eAED:0.39 QI:481|1|1|1|0|0|3|348|269
HD-ZIP	transcription factor	Potra2n12c24058.1	IPR006455,IPR006456,IPR009057	protein AED:0.41 eAED:0.41 QI:0|0|0|1|1|1|2|0|172
ZF-HD	transcription factor	Potra2n12c24058.1	IPR006455,IPR006456,IPR009057	protein AED:0.41 eAED:0.41 QI:0|0|0|1|1|1|2|0|172
Homobox-WOX	transcription factor	Potra2n12c24036.1	IPR001356,IPR002913,IPR009057	protein AED:0.10 eAED:0.10 QI:606|0.91|0.84|1|0.83|0.76|13|756|706
HD-SAD	transcription factor & lipid binding	Potra2n12c24036.1	IPR001356,IPR002913,IPR009057	protein AED:0.10 eAED:0.10 QI:606|0.91|0.84|1|0.83|0.76|13|756|706
Homobox-WOX	transcription factor	Potra2n12c24036.2	IPR001356,IPR002913,IPR009057	protein AED:0.06 eAED:0.06 QI:965|0.9|0.81|1|1|1|11|756|706
HD-SAD	transcription factor & lipid binding	Potra2n12c24036.2	IPR001356,IPR002913,IPR009057	protein AED:0.06 eAED:0.06 QI:965|0.9|0.81|1|1|1|11|756|706
MYB-HB-like	transcription factor	Potra2n12c24034.1	IPR001005,IPR006447,IPR009057,IPR017930	protein AED:0.30 eAED:0.30 QI:448|0.77|0.7|1|0.88|0.8|10|0|643
MYB-HB-like	transcription factor	Potra2n12c24034.2	IPR001005,IPR006447,IPR009057,IPR017930	protein AED:0.12 eAED:0.12 QI:448|1|1|1|0.71|0.5|8|2534|488
PHD	chromatin regulator	Potra2n12c24035.1	IPR001965,IPR011011	protein AED:0.24 eAED:0.24 QI:0|-1|0|1|-1|1|1|0|320
MYB-HB-like	transcription factor	Potra2n12c24071.1	IPR001005,IPR006447,IPR009057	protein AED:0.10 eAED:0.10 QI:473|1|1|1|0.83|0.71|7|947|436
MYB-HB-like	transcription factor	Potra2n12c24071.2	IPR001005,IPR006447,IPR009057	protein AED:0.08 eAED:0.08 QI:626|1|1|1|1|1|6|947|436
PHD	chromatin regulator	Potra2n12c24085.1	IPR001841,IPR001965,IPR019786,IPR019787	protein AED:0.18 eAED:0.19 QI:0|0|0|1|1|1|2|0|1046
B3-Domain	transcription factor	Potra2n12c24107.1	IPR003340	protein AED:0.00 eAED:0.00 QI:0|-1|1|1|-1|1|1|0|127
TIFY	transcription factor	Potra2n12c24094.1	IPR010399	protein AED:0.20 eAED:0.19 QI:228|0.66|0.85|0.85|1|1|7|1681|377
WD40-like	transcription factor	Potra2n12c24134.1	IPR001680,IPR017986,IPR019775	protein AED:0.23 eAED:0.23 QI:217|0.5|0.55|1|1|1|9|0|715
WD40-like	transcription factor	Potra2n12c24134.2	IPR001680,IPR017986,IPR019775	protein AED:0.05 eAED:0.05 QI:217|1|1|1|0.6|0.66|6|2506|398
WD40-like	transcription factor	Potra2n12c24134.4	IPR001680,IPR017986	protein AED:0.45 eAED:0.67 QI:0|0|0|1|1|0.66|3|0|142
WD40-like	transcription factor	Potra2n12c24134.5	IPR001680,IPR017986	protein AED:0.23 eAED:0.23 QI:0|0.5|0.66|0.66|0|0.33|3|1972|142
Homobox-WOX	transcription factor	Potra2n12c24122.1	IPR001356,IPR009057	protein AED:0.12 eAED:0.12 QI:1130|1|1|1|1|1|4|528|367
WD40-like	transcription factor	Potra2n12c24137.1	IPR001680,IPR017986,IPR019775	protein AED:0.12 eAED:0.12 QI:203|0|0.66|1|1|1|3|675|355
C2H2	transcription factor	Potra2n12c24157.1	IPR001841,IPR018957	protein AED:0.35 eAED:0.35 QI:303|0.6|0.5|1|0.6|0.66|6|0|420
C2H2	transcription factor	Potra2n12c24157.2	IPR001841,IPR018957	protein AED:0.28 eAED:0.28 QI:303|1|1|1|1|1|5|793|387
C2H2	transcription factor	Potra2n12c24171.1	IPR001841	protein AED:0.18 eAED:0.18 QI:131|1|1|1|0.76|0.92|14|874|1241
C2H2	transcription factor	Potra2n12c24171.2	IPR001841	protein AED:0.13 eAED:0.13 QI:131|1|1|1|0.83|0.84|13|1822|1212
AS2-LOB	transcription factor	Potra2n12c24188.1	IPR004883	protein AED:0.17 eAED:0.17 QI:238|1|1|1|1|1|2|590|277
bHLH	transcription factor	Potra2n12c24177.1	IPR011598	protein AED:0.23 eAED:0.23 QI:0|0.8|0.83|1|1|1|6|444|286
C2C2-Dof	transcription factor	Potra2n9c19872.1	IPR003851	protein AED:0.04 eAED:0.04 QI:549|1|1|1|1|1|2|925|327
MYB-HB-like	transcription factor	Potra2n12c24176.1	IPR001005,IPR009057,IPR015495,IPR017930	protein AED:0.13 eAED:0.13 QI:344|1|1|1|1|1|3|1020|327
NAM	transcription factor	Potra2n12c24184.1	IPR003441	protein AED:0.15 eAED:0.15 QI:264|1|1|1|1|1|3|332|309
BED-type(Zn)	transcription factor/ chromatin remodeling	Potra2n12c24211.1	IPR003656,IPR012337	protein AED:0.16 eAED:0.16 QI:666|1|1|1|0.6|0.66|6|635|686
BED-type(Zn)	transcription factor/ chromatin remodeling	Potra2n12c24211.2	IPR003656,IPR012337	protein AED:0.17 eAED:0.17 QI:666|1|1|1|0.4|0.5|6|635|680
BED-type(Zn)	transcription factor/ chromatin remodeling	Potra2n12c24211.3	IPR003656,IPR012337	protein AED:0.17 eAED:0.17 QI:592|1|1|1|0.6|0.5|6|635|696
Hap3/NF-YB	transcription factor	Potra2n12c24201.1	IPR003958,IPR009072	protein AED:0.33 eAED:0.33 QI:0|0.66|0.71|1|0.66|0.71|7|842|228
Hap3/NF-YB	transcription factor	Potra2n12c24201.2	IPR003958,IPR009072	protein AED:0.34 eAED:0.34 QI:0|0.8|0.83|1|1|1|6|842|196
CHROMO-DOMAIN	chromatin remodeling & transcriptional activation	Potra2n12c24209.1	IPR016197	protein AED:0.49 eAED:0.83 QI:0|0|0|1|1|1|4|0|729
MADS-MIKC	transcription factor	Potra2n12c24243.1	IPR002100,IPR002487	protein AED:0.39 eAED:0.39 QI:409|0.66|0.85|1|0.16|0.42|7|761|208
MADS-MIKC	transcription factor	Potra2n12c24243.2	IPR002100,IPR002487	protein AED:0.42 eAED:0.42 QI:0|0.83|0.85|1|0.33|0.42|7|761|218
WD40-like	transcription factor	Potra2n12c24231.1	IPR001680,IPR017986,IPR019775	protein AED:0.13 eAED:0.13 QI:228|0.93|0.96|0.96|0.96|0.96|31|907|1218
WD40-like	transcription factor	Potra2n12c24231.2	IPR001680,IPR017986,IPR019775	protein AED:0.12 eAED:0.12 QI:228|0.96|0.96|1|0.93|0.90|31|907|1208
WD40-like	transcription factor	Potra2n12c24231.3	IPR001680	protein AED:0.05 eAED:0.05 QI:4493|1|1|1|0.93|0.86|30|907|104
WD40-like	transcription factor	Potra2n12c24231.4	IPR001680,IPR017986,IPR019775	protein AED:0.07 eAED:0.07 QI:228|0.96|0.96|1|0.89|0.83|30|1836|1135
C2H2	transcription factor	Potra2n9c19867.1	IPR001841,IPR002110	protein AED:0.14 eAED:0.14 QI:383|1|1|1|1|1|8|359|454
MYB-HB-like	transcription factor	Potra2n12c24224.1	IPR001005,IPR006447,IPR009057,IPR017884,IPR017930	protein AED:0.14 eAED:0.14 QI:655|1|1|1|1|1|2|1078|295
MYB/SANT	transcription factor	Potra2n12c24224.1	IPR001005,IPR006447,IPR009057,IPR017884,IPR017930	protein AED:0.14 eAED:0.14 QI:655|1|1|1|1|1|2|1078|295
C2H2	transcription factor	Potra2n12c24220.1	IPR001841	protein AED:0.18 eAED:0.18 QI:294|0.71|0.73|1|0.85|0.73|15|1768|494
C2H2	transcription factor	Potra2n12c24220.2	IPR001841	protein AED:0.15 eAED:0.15 QI:294|0.69|0.71|1|0.92|0.85|14|2057|494
TCP	transcription factor	Potra2n12c24216.1	IPR005333,IPR017887	protein AED:0.15 eAED:0.15 QI:929|1|1|1|0.5|0.33|3|751|389
TCP	transcription factor	Potra2n12c24216.2	IPR005333,IPR017887	protein AED:0.13 eAED:0.13 QI:1090|1|1|1|1|1|2|751|389
C2H2	transcription factor	Potra2n12c24256.1	IPR001841,IPR018957	protein AED:0.26 eAED:0.26 QI:20|1|1|1|0|0.5|2|0|510
WD40-like	transcription factor	Potra2n12c24255.1	IPR001680,IPR017986,IPR019775	protein AED:0.18 eAED:0.18 QI:149|1|1|1|1|1|12|651|966
bHLH	transcription factor	Potra2n12c24253.1	IPR011598	protein AED:0.09 eAED:0.09 QI:530|0.90|0.91|1|0.90|0.83|12|432|547
Hap3/NF-YB	transcription factor	Potra2n9c19886.1	IPR009072	protein AED:0.39 eAED:0.39 QI:0|-1|0|1|-1|1|1|0|148
bHLH	transcription factor	Potra2n12c24302.1	IPR011598	protein AED:0.10 eAED:0.10 QI:430|1|1|1|1|1|2|239|91
SNF2	chromatin remodeling	Potra2n12c24273.1	IPR000330	protein AED:0.16 eAED:0.14 QI:381|0.95|0.91|1|0.82|0.87|24|431|1264
C2H2	transcription factor	Potra2n12c24275.1	IPR001841,IPR013083,IPR017907	protein AED:0.32 eAED:0.40 QI:0|0|0|1|0|0.33|3|0|291
BED-type(Zn)	transcription factor/ chromatin remodeling	Potra2n12c24279.1	IPR003656	protein AED:0.41 eAED:0.41 QI:0|0|0|1|0|0|2|0|189
Znf-B	transcription factor interactor and regulator	Potra2n12c24303.1	IPR000315	protein AED:0.25 eAED:0.28 QI:0|0|0|1|0|0|2|0|114
E2F-DP	transcription factor	Potra2n12c24354.1	IPR003316,IPR015633	protein AED:0.06 eAED:0.06 QI:282|1|1|1|0.81|0.75|12|754|385
E2F-DP	transcription factor	Potra2n12c24354.2	IPR003316,IPR015633	protein AED:0.04 eAED:0.04 QI:282|1|1|1|0.9|0.81|11|841|385
C2H2	transcription factor	Potra2n12c24345.1	IPR001841	protein AED:0.05 eAED:0.05 QI:198|1|1|1|0.66|0.75|4|2435|353
C2H2	transcription factor	Potra2n12c24345.2	IPR001841	protein AED:0.30 eAED:0.30 QI:198|0.66|0.75|1|0.66|0.75|4|316|372
bHLH	transcription factor	Potra2n12c24334.1	IPR011598	protein AED:0.29 eAED:0.29 QI:185|1|1|1|1|1|6|746|272
bHLH	transcription factor	Potra2n12c24334.3	IPR011598	protein AED:0.12 eAED:0.12 QI:185|1|1|1|1|0.75|4|2356|195
WD40-like	transcription factor	Potra2n12c24360.1	IPR001680,IPR017986	protein AED:0.13 eAED:0.13 QI:0|-1|0|1|-1|1|1|0|403
WD40-like	transcription factor	Potra2n12c24349.1	IPR001680,IPR017986,IPR019775	protein AED:0.22 eAED:0.22 QI:403|0.25|0.22|1|0.87|0.77|9|0|925
MYB-HB-like	transcription factor	Potra2n12c24342.1	IPR001005,IPR006447,IPR009057,IPR017930	protein AED:0.12 eAED:0.12 QI:511|1|1|1|1|1|3|705|311
DDT	transcription factor & chromatin remodeling	Potra2n12c24328.1	IPR004022,IPR018500	protein AED:0.03 eAED:0.03 QI:403|1|1|1|0.78|0.73|15|2282|715
DDT	transcription factor & chromatin remodeling	Potra2n12c24328.2	IPR004022,IPR018500	protein AED:0.02 eAED:0.02 QI:403|1|1|1|0.84|0.78|14|2371|715
